순위,곡명,가수,앨범
1,Stay,The Kid LAROI & Justin Bieber,Stay
2,신호등,이무진,신호등
3,Queendom,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
4,낙하 (With 아이유),AKMU (악뮤),NEXT EPISODE
5,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
6,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
7,Weekend,태연 (TAEYEON),Weekend
8,Permission to Dance,방탄소년단,Butter / Permission to Dance
9,Next Level,aespa,Next Level
10,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5 (tvN 목요드라마)
11,Bad Habits,Ed Sheeran,Visiting Hours
12,Butter,방탄소년단,Butter
13,DUMB DUMB,전소미,DUMB DUMB
14,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1 (tvN 목요드라마)
15,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021)
16,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice
17,사진을 보다가,다비치,사진을 보다가 (REVIBE Vol.2)
18,헤픈 우연,헤이즈 (Heize),HAPPEN
19,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
20,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
21,롤린 (Rollin'),브레이브걸스 (Brave girls),Rollin'
22,라일락,아이유 (IU),IU 5th Album 'LILAC'
23,하루만 더,빅마마 (Big Mama),하루만 더
24,고백,10CM,두 번째 '고백'
25,치맛바람 (Chi Mat Ba Ram),브레이브걸스 (Brave girls),Summer Queen
26,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래
27,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
28,HERO,임영웅,HERO
29,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
30,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
31,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
32,그대라는 사치,임영웅,사랑의 콜센타 PART62
33,여전히 아름다운지,세븐틴 (SEVENTEEN),슬기로운 의사생활 시즌2 OST Part 8 (tvN 목요드라마)
34,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단,Savage Love (Laxed - Siren Beat) (BTS Remix)
35,운전만해 (We Ride),브레이브걸스 (Brave girls),We Ride
36,Bk Love,임영웅,뽕숭아학당 PART23
37,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
38,Alcohol-Free,TWICE (트와이스),Taste of Love
39,나를 아는 사람,MSG워너비 (정상동기),MSG워너비 1집
40,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album
41,잊었니,임영웅,사랑의 콜센타 PART60
42,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2 (tvN 목요드라마)
43,끝사랑,임영웅,사랑의 콜센타 PART61
44,미워요,임영웅,미워요 & 소나기
45,아로하,조정석,슬기로운 의사생활 OST Part 3 (tvN 목요드라마)
46,상상더하기,라붐 (LABOUM),Fresh Adventure
47,추적이는 여름 비가 되어,장범준,장범준 싱글
48,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special (tvN 목요드라마)
49,회상,정경호,슬기로운 의사생활 시즌2 OST Part 9 (tvN 목요드라마)
50,Timeless,SG워너비,Wanna Be＋
51,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
52,ASAP,STAYC (스테이씨),STAYDOM
53,슈퍼스타,미도와 파라솔,슬기로운 의사생활 시즌2 OST Part 6 (tvN 목요드라마)
54,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
55,Blueming,아이유 (IU),Love poem
56,At My Worst,Pink Sweat$,The Prelude
57,Off My Face,Justin Bieber,Justice
58,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들,사이렌 Remix
59,어푸 (Ah puh),아이유 (IU),IU 5th Album 'LILAC'
60,사랑의 아픔 딛고,임영웅,사랑의 콜센타 PART65
61,에잇 (Prod. & Feat. SUGA of BTS),아이유 (IU),에잇
62,목로주점,임영웅,사랑의 콜센타 PART50
63,2002,Anne-Marie,Speak Your Mind (Deluxe)
64,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
65,12 : 45 (Stripped),etham,12 : 45 (Stripped)
66,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
67,상상더하기,MSG워너비,MSG워너비 TOP 8 경연곡
68,계단말고 엘리베이터,임영웅,계단말고 엘리베이터
69,Life Goes On,방탄소년단,BE
70,봄날,방탄소년단,YOU NEVER WALK ALONE
71,멜로디,ASH ISLAND,멜로디
72,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
73,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
74,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
75,Leave The Door Open,Bruno Mars & Anderson .Paak & Silk Sonic,Skate
76,나는 너 좋아,장범준,슬기로운 의사생활 시즌2 OST Part 3 (tvN 목요드라마)
77,Kiss Me More (Feat. SZA),Doja Cat,Kiss Me More
78,은하수를 닮은 너에게 (Feat. 몰리디),경서예지,은하수를 닮은 너에게
79,Lovesick Girls,BLACKPINK,THE ALBUM
80,METEOR,창모 (CHANGMO),Boyhood
81,러브 (Prod. by 로코베리),로꼬 & 이성경,Love (Prod. by Rocoberry)
82,네 노래,피아노맨,네 노래
83,사랑하니까 (2021),이보람 (씨야),사랑하니까 (2021)
84,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
85,아무노래,지코 (ZICO),아무노래
86,밤이 되니까,원슈타인,밤이 되니까
87,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
88,넌 좋은 사람,SG워너비,넌 좋은 사람
89,Dolphin,오마이걸 (OH MY GIRL),NONSTOP
90,만개 (Prod. 신지후),김호중,우리家
91,오래된 노래,Standing Egg (스탠딩 에그),오래된 노래
92,벌써 일년 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special (tvN 목요드라마)
93,parachute,John K,love ＋ everything else
94,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11 (tvN 목요드라마)
95,잠이 오질 않네요,장범준,잠이 오질 않네요
96,라라라,SG워너비,My Friend
97,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),/// (너 먹구름 비)
98,Memories,Maroon 5,Memories
99,VVS (Feat. JUSTHIS) (Prod. by GroovyRoom),미란이 (Mirani) & 먼치맨 (MUNCHMAN) & Khundi Panda & 머쉬베놈 (MUSHVENOM),쇼미더머니 9 Episode 1
100,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP
101,Dance Monkey,Tones And I,The Kids Are Coming
102,Rainy day (Feat. ASH ISLAND & Skinny Brown),PATEKO (파테코),Rainy day
103,Coin,아이유 (IU),IU 5th Album 'LILAC'
104,ON,방탄소년단,MAP OF THE SOUL : 7
105,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까
106,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
107,나보다 더 사랑해요,김호중,나보다 더 사랑해요
108,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2 (tvN 목요드라마)
109,Tiny Riot,Sam Ryder,Tiny Riot
110,다시 사랑할 수 있을까,백지영 & 이홍기 (FT아일랜드),다시 사랑할 수 있을까
111,고백,장범준,첫 번째 '고백'
112,허리춤,오반 (OVAN),허리춤
113,DNA,방탄소년단,LOVE YOURSELF 承 'Her'
114,안녕,폴킴,호텔 델루나 OST Part.10 (tvN 토일드라마)
115,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아
116,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
117,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
118,Bad,Christopher,Under the Surface
119,고맙소,김호중,내일은 미스터트롯 결승전 베스트
120,소우주 (Mikrokosmos),방탄소년단,MAP OF THE SOUL : PERSONA
121,너에게,유연석,슬기로운 의사생활 시즌2 OST Part 7 (tvN 목요드라마)
122,Don't Start Now,Dua Lipa,Future Nostalgia
123,우린 어쩌다 헤어진 걸까,허각,Hello
124,IDOL,방탄소년단,LOVE YOURSELF 結 'Answer'
125,살았소,김호중,살았소
126,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
127,전쟁터 (With 이선희),AKMU (악뮤),NEXT EPISODE
128,Shape Of You,Ed Sheeran,÷ (Deluxe)
129,너의 번호를 누르고 (Prod. by 영화처럼),#안녕,너의 번호를 누르고
130,On The Ground,로제 (ROSE),R
131,마음을 드려요,아이유 (IU),사랑의 불시착 OST Part 11 (tvN 토일 드라마)
132,Bad Boy,청하 & Christopher,Bad Boy
133,그냥 안아달란 말야,다비치,그냥 안아달란 말야
134,사실 나는 (Feat. 전건호),경서예지,사실 나는
135,Way Back Home,숀 (SHAUN),Take
136,너무 보고싶어,전상근,너무 보고싶어 (너에게 하고 싶은 말 X 전상근)
137,밤하늘의 저 별처럼,헤이즈 (Heize) & 펀치 (Punch),밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙) (SBS 월화드라마)
138,주저하는 연인들을 위해,잔나비,전설
139,Ashes,Stellar,Ashes
140,밤편지,아이유 (IU),밤편지
141,Maniac,Conan Gray,Maniac
142,제자리 걸음,V.O.S,제자리 걸음
143,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
144,사이렌,호미들,Ghetto Kids
145,어떻게 지내 (Prod. by VAN.C),오반 (OVAN),어떻게 지내
146,다시 만날까 봐,V.O.S,다시 만날까 봐
147,아무도 잠들지 마라 (Nessun Dorma),김호중,The Classic Album
148,내사람 : Partner For Life,SG워너비,The 3rd Masterpiece
149,FAKE LOVE,방탄소년단,LOVE YOURSELF 轉 'Tear'
150,Leave Before You Love Me,Marshmello & Jonas Brothers,Leave Before You Love Me
151,마.피.아. In the morning,ITZY (있지),GUESS WHO
152,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
153,화려하지 않은 고백,규현 (KYUHYUN),슬기로운 의사생활 OST Part 4 (tvN 목요드라마)
154,시작,가호 (Gaho),이태원 클라쓰 OST Part.2 (JTBC 금토드라마)
155,거짓말이라도 해서 널 보고싶어,백지영,거짓말이라도 해서 널 보고싶어
156,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
157,How You Like That,BLACKPINK,How You Like That
158,도망가자 (Run With Me),선우정아,Serenade
159,행복을 주는 사람,김호중,사랑의 콜센타 Part12
160,Comethru,Jeremy Zucker,"Summer,"
161,난 너를 사랑해,MSG워너비,난 너를 사랑해
162,All Falls Down (Feat. Juliander),Alan Walker & Noah Cyrus & Digital Farm Animals,Different World
163,Stuck With U,Ariana Grande & Justin Bieber,Stuck with U
164,너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수),케이시 (Kassy),너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수)
165,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
166,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
167,너를 만나,폴킴,너를 만나
168,Love poem,아이유 (IU),Love poem
169,백화 (白花) (Narration. 손숙),김호중,우리家
170,우산이 없어요,김호중,우리家
171,할무니,김호중,할무니
172,첫눈처럼 너에게 가겠다,에일리 (AILEE),도깨비 OST Part 9 (tvN 금토드라마)
173,LO$ER=LO♡ER,투모로우바이투게더,혼돈의 장 : FIGHT OR ESCAPE
174,바람남,김호중,내일은 미스터트롯 결승전 베스트
175,위대한 사랑 (Un Amore Cosi Grande),김호중,The Classic Album
176,때,김호중,사랑의 콜센타 Part 6
177,고백 (바른연애 길잡이 X 허각),허각,고백 (바른연애 길잡이 X 허각)
178,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons)
179,불타오르네 (FIRE),방탄소년단,화양연화 Young Forever
180,너나 나나,김호중,너나 나나
181,On My Way,Alan Walker & Sabrina Carpenter & Farruko,On My Way
182,체념,MSG워너비 (정상동기),MSG워너비 TOP 8 경연곡
183,THRILL RIDE,더보이즈 (THE BOYZ),THE BOYZ 6TH MINI ALBUM ［THRILL-ING］
184,살다가,SG워너비,2집 살다가
185,You can't sit with us,선미,6분의1
186,나만의 길 (My Way),김호중,우리家
187,째깍 째깍 째깍 (With Beenzino),AKMU (악뮤),NEXT EPISODE
188,Painkiller,Ruel,Painkiller
189,Downtown Baby,블루 (BLOO),Downtown Baby
190,Black Mamba,aespa,Black Mamba
191,"너에게 난, 나에게 넌",미도와 파라솔,슬기로운 의사생활 OST Part 12 (tvN 목요드라마)
192,다시 여기 바닷가,싹쓰리 (유두래곤 & 린다G & 비룡),다시 여기 바닷가
193,Way Back Home (2021),런치,Way Back Home (2021)
194,술 한잔 해요,경서 (경서예지) & MJ (써니사이드),술 한잔 해요
195,비가 온다,김호중,식구
196,Mood (Feat. Iann Dior),24KGoldn,El Dorado
197,To Die For,Sam Smith,To Die For
198,죄와 벌 (罪와 罰),SG워너비,2집 살다가
199,노래방에서,장범준,장범준 3집
200,I (Feat. 버벌진트),태연 (TAEYEON),I - The 1st Mini Album
